"Id"	"Prompt"	"Wavfile"	"RecResult"	"Transcription"	"language"	"meaning"
"5885"	"Sag: Ich habe 3 jüngere Brüder"	"5885.wav"	"have three younger brothers"	"have three younger brothers"	"incorrect"	"correct"
"5886"	"Sag: Ich gehe in die Ferien"	"5886.wav"	"i am on holiday"	"i am on holiday"	"correct"	"correct"
"5887"	"Frag: Zimmer für 4 Nächte"	"5887.wav"	"i want a room for four nights"	"i want a room for four nights"	"correct"	"correct"
"5888"	"Frag: Einzelzimmer"	"5888.wav"	"single room"	"single room"	"correct"	"correct"
"5889"	"Frag: Einzelzimmer"	"5889.wav"	"a single room"	"a single room"	"correct"	"correct"
"5890"	"Sag: Ich möchte mit Mastercard bezahlen"	"5890.wav"	"can i pay with mastercard"	"can i pay with*z master card"	"correct"	"correct"
"5893"	"Frag: Zimmer für 3 Nächte"	"5893.wav"	"i like to have a room for three nights"	"i like to have a room for three nights"	"incorrect"	"correct"
"5894"	"Frag: Zimmer für 3 Nächte"	"5894.wav"	"i want to have a room for three nights"	"i want to have a room for three nights"	"correct"	"correct"
"5895"	"Frag: Zimmer für 3 Nächte"	"5895.wav"	"i want to like a room for three nights"	"i want to like a room for three nights"	"incorrect"	"correct"
"5896"	"Sag: Mir geht es gut"	"5896.wav"	"i'm fine"	"i'm fine"	"correct"	"correct"
"5897"	"Frag: Stiefel"	"5897.wav"	"i want boots"	"i want boots"	"correct"	"correct"
"5898"	"Frag: rote Stiefel"	"5898.wav"	"i want red boots"	"i want red boots"	"correct"	"correct"
"5899"	"Frag: Grösse 39"	"5899.wav"	"thirty nine"	"thirty nine"	"correct"	"correct"
"5900"	"Frag: Grösse 39"	"5900.wav"	"thirty nine"	"thirty nine"	"correct"	"correct"
"5901"	"Frag: Grösse 39"	"5901.wav"	"thirty nine"	"thirty nine"	"correct"	"correct"
"5902"	"Frag: ein Sweatshirt"	"5902.wav"	"i want a i want a sweet shirt"	"i want a s*a i want a sweet shirt"	"incorrect"	"incorrect"
"5903"	"Frag: ein Sweatshirt"	"5903.wav"	"i want a sweet shirt"	"i want a sweet shirt"	"incorrect"	"incorrect"
"5904"	"Frag: ein grünes Sweatshirt"	"5904.wav"	"i want a green sweet shirt"	"i want a green sweet shirt"	"incorrect"	"incorrect"
"5905"	"Frag: eine L"	"5905.wav"	"large"	"large"	"correct"	"correct"
"5906"	"Frag: eine L"	"5906.wav"	"i need a large"	"i need a large"	"correct"	"correct"
"5907"	"Frag: Wie viel kostet es?"	"5907.wav"	"how much is it"	"how much is it"	"correct"	"correct"
"5910"	"Sag: Mir geht es gut"	"5910.wav"	"i'm fine"	"i'm fine"	"correct"	"correct"
"5911"	"Frag: Stiefel"	"5911.wav"	"i want boots"	"i want boots"	"correct"	"correct"
"5912"	"Frag: braune Stiefel"	"5912.wav"	"i want brown boots"	"i want brown boots"	"correct"	"correct"
"5913"	"Frag: Grösse 40"	"5913.wav"	"a tea"	"r t"	"incorrect"	"incorrect"
"5915"	"Frag: Grösse 40"	"5915.wav"	"i need number forty"	"i need number forty"	"incorrect"	"correct"
"5916"	"Frag: ein Sweatshirt"	"5916.wav"	"i want a sweet shirt"	"i want a sweet shirt"	"incorrect"	"incorrect"
"5917"	"Frag: ein Sweatshirt"	"5917.wav"	"i want a sweet shirt"	"i want a sweet shirt"	"incorrect"	"incorrect"
"5918"	"Frag: ein Wasser ohne Kohlensäure"	"5918.wav"	"i want a water without gas"	"i want a water without g*a gas"	"correct"	"correct"
"5920"	"Frag: eine Fanta"	"5920.wav"	"i want a fanta"	"i want a fanta"	"correct"	"correct"
"5921"	"Frag: ein Steak"	"5921.wav"	"i want the steak"	"i want the steak"	"correct"	"correct"
"5922"	"Frag: mein Steak blau"	"5922.wav"	"i want my steak blue"	"i want my steak blue"	"correct"	"correct"
"5923"	"Frag: mein Steak blau"	"5923.wav"	"i want my steak blue"	"i want my steak blue"	"correct"	"correct"
"5926"	"Frag: Pilze"	"5926.wav"	"i want onions"	"i want onions"	"incorrect"	"incorrect"
"5929"	"Frag: ein Wasser mit Kohlensäure"	"5929.wav"	"i want a carbonated water"	"i want a carbonated water"	"correct"	"correct"
"5930"	"Frag: ein Steak"	"5930.wav"	"i want a steak"	"i want a steak"	"correct"	"correct"
"5931"	"Frag: mein Steak rare"	"5931.wav"	"steak rare"	"steak rare"	"incorrect"	"correct"
"5933"	"Frag: mein Steak rare"	"5933.wav"	"i want my steak rare"	"i want my steak rare"	"correct"	"correct"
"5934"	"Frag: Karroten"	"5934.wav"	"i want some carrots"	"i want some carrots"	"correct"	"correct"
"5936"	"Frag: eine Cola"	"5936.wav"	"i want a coke"	"i want a coke"	"correct"	"correct"
"5937"	"Frag: ein Steak"	"5937.wav"	"i want a steak"	"i want a steak"	"correct"	"correct"
"5938"	"Frag: ein Steak"	"5938.wav"	"i want this steak"	"i want this steak"	"incorrect"	"correct"
"5939"	"Frag: mein Steak blau"	"5939.wav"	"i want my blue steak"	"i want my blue steak"	"incorrect"	"correct"
"5940"	"Frag: mein Steak blau"	"5940.wav"	"i want my steak blue"	"i want my steak blue"	"correct"	"correct"
"5941"	"Frag: Zimmer für 3 Nächte"	"5941.wav"	"can i have a room for three nights"	"can i have a room for three nights"	"correct"	"correct"
"5942"	"Frag: Einzelzimmer"	"5942.wav"	"a single room"	"a single room"	"correct"	"correct"
"5943"	"Frag: Einzelzimmer"	"5943.wav"	"can i have a single room"	"can i have a single room"	"correct"	"correct"
"5944"	"Frag: Zimmer für 6 Nächte"	"5944.wav"	"can i have a room for six nights"	"can i have a a room for six nights"	"correct"	"correct"
"5945"	"Frag: Suite"	"5945.wav"	"i like a suite"	"i like a suite"	"incorrect"	"correct"
"5946"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"5946.wav"	"i would like to pay be credit card"	"i would like to pay be credit card"	"incorrect"	"correct"
"5947"	"Frag: Gibt es eine Hotelbar?"	"5947.wav"	"is there a hotel bar"	"is there a hotel*z bar"	"correct"	"correct"
"5948"	"Frag: Wo ist die Hotelbar?"	"5948.wav"	"is there a hotel bar"	"is there hotel*z bar"	"incorrect"	"correct"
"5949"	"Frag: Wo ist die Hotelbar?"	"5949.wav"	"where is the hotel bar"	"where is the hotel bar"	"correct"	"correct"
"5950"	"Frag: Zimmer für 6 Nächte"	"5950.wav"	"can i have a room for six nights"	"can i have a room for six nights"	"correct"	"correct"
"5951"	"Frag: Einzelzimmer"	"5951.wav"	"can i have a single room"	"can i have a single room"	"correct"	"correct"
"5952"	"Frag: Einzelzimmer"	"5952.wav"	"can i have a single room"	"can i have a single room"	"correct"	"correct"
"5954"	"Frag: Zimmer für 1 Woche"	"5954.wav"	"i want a room for one week"	"i want a room for one week"	"correct"	"correct"
"5955"	"Sag: Mir geht es gut"	"5955.wav"	"how are you doing"	"how are you doing"	"incorrect"	"incorrect"
"5956"	"Sag: Mir geht es gut"	"5956.wav"	"how are you"	"how are you"	"incorrect"	"incorrect"
"5957"	"Sag: Mir geht es gut"	"5957.wav"	"i'm good thanks"	"i am good thanks"	"correct"	"correct"
"5958"	"Frag: Stiefel"	"5958.wav"	"i will boots"	"i will boots"	"incorrect"	"incorrect"
"5960"	"Frag: Stiefel"	"5960.wav"	"i will boots"	"i will boots"	"incorrect"	"incorrect"
"5961"	"Frag: rote Stiefel"	"5961.wav"	"i will red boots please"	"i will red boots please"	"incorrect"	"correct"
"5962"	"Frag: rote Stiefel"	"5962.wav"	"i will red boots"	"i will red boots"	"incorrect"	"correct"
"5963"	"Frag: rote Stiefel"	"5963.wav"	"red boots please"	"red boots please"	"correct"	"correct"
"5965"	"Frag: Grösse 38"	"5965.wav"	"i want a thirty eight"	"i want a thirty eight"	"correct"	"correct"
"5966"	"Frag: Hosen"	"5966.wav"	"i will pants"	"i will pants"	"incorrect"	"incorrect"
"5967"	"Frag: Hosen"	"5967.wav"	"i need some trousers"	"i need some trousers"	"correct"	"correct"
"5968"	"Frag: Hosen"	"5968.wav"	"i need some trousers"	"i need some trou*a"	"incorrect"	"incorrect"
"5969"	"Frag: ein Ticket zum Green Park"	"5969.wav"	"i need a ticket to green park"	"i need a ticket to green park"	"correct"	"correct"
"5970"	"Sag: Ich möchte mit Mastercard bezahlen"	"5970.wav"	"can i pay with mastercard"	"can i pay with*z master card"	"correct"	"correct"
"5971"	"Sag: Ich möchte mit Dollars bezahlen"	"5971.wav"	"can i pay with dollars"	"can i pay with*z dollars"	"correct"	"correct"
"5972"	"Frag: ein Ticket zum Trafalgar Square"	"5972.wav"	"i need a ticket to trafalgar square"	"i need a ticket to trafalgar*z square"	"correct"	"correct"
"5973"	"Sag: Ich möchte mit Visa bezahlen"	"5973.wav"	"i would like to pay with visa"	"i would like to pay with visa"	"correct"	"correct"
"5974"	"Frag: ein Ticket zum Piccadilly Circus"	"5974.wav"	"i would like a ticket to piccadilly circus"	"i would like a ticket to piccadilly circus"	"correct"	"correct"
"5975"	"Frag: ein Ticket zum Piccadilly Circus"	"5975.wav"	"i would like a ticket to the circus"	"i would like a ticket to pi*a circus"	"incorrect"	"incorrect"
"5976"	"Frag: ein Ticket zum Piccadilly Circus"	"5976.wav"	"i would like a ticket to the piccadilly circus"	"i would like a ticket to pic*a piccadilly*z circus"	"incorrect"	"correct"
"5977"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"5977.wav"	"can i pay by credit card"	"can i pay by credit card"	"correct"	"correct"
"5978"	"Frag: ein Ticket zum Green Park"	"5978.wav"	"i need a ticket to green park"	"i need a ticket to green park"	"correct"	"correct"
"5979"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"5979.wav"	"can i pay by credit card"	"can i pay by credit card"	"correct"	"correct"
"5980"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"5980.wav"	"can i pay with swiss francs"	"can i pay with swiss francs"	"correct"	"correct"
"5981"	"Frag: ein Wasser mit Kohlensäure"	"5981.wav"	"i would like a soda water"	"i would like a sparkling water"	"correct"	"correct"
"5982"	"Frag: Zimmer für 3 Nächte"	"5982.wav"	"i would like a room for three nights"	"i would like a room for three nights"	"correct"	"correct"
"5983"	"Frag: Zimmer für 3 Nächte"	"5983.wav"	"i want a room for three nights"	"I want a room for um three nights"	"correct"	"correct"
"5984"	"Frag: Zimmer für 6 Nächte"	"5984.wav"	"i want a room for three nights"	"i want a room for three nights"	"incorrect"	"incorrect"
"5985"	"Frag: Zimmer für 6 Nächte"	"5985.wav"	"i want a room for three nights"	"i would a room for three nights"	"incorrect"	"incorrect"
"5986"	"Frag: Zimmer für 6 Nächte"	"5986.wav"	"i want a room for three uh for six nights"	"i want a room for three uh for six nights"	"correct"	"correct"
"5987"	"Frag: Zimmer für 6 Nächte"	"5987.wav"	"i want a room for the next three uh six nights"	"i want a room for uh next three uh six nights"	"correct"	"correct"
"5988"	"Frag: Zimmer für 6 Nächte"	"5988.wav"	"hello"	"hello"	"incorrect"	"incorrect"
"5989"	"Frag: Zimmer für 6 Nächte"	"5989.wav"	"can i have a room for the next six nights"	"can i have a a room for the next six nights"	"correct"	"correct"
"5990"	"Frag: Einzelzimmer"	"5990.wav"	"i would uh um can i have a toilet"	"i would uh um can i have a sigi*v muh*v strosse*v"	"incorrect"	"incorrect"
"5991"	"Frag: Einzelzimmer"	"5991.wav"	"no"	"no"	"incorrect"	"incorrect"
"5992"	"Frag: Einzelzimmer"	"5992.wav"	"i want a room for a a a"	"i want a room for a a a"	"incorrect"	"incorrect"
"5993"	"Frag: Zimmer für 4 Nächte"	"5993.wav"	"i want a room for the next four nights"	"i want a room for the next four nights"	"correct"	"correct"
"5994"	"Frag: Zimmer für 4 Nächte"	"5994.wav"	"i want a room for the next four nights"	"i want a room for the next four nights"	"correct"	"correct"
"5995"	"Frag: Zimmer für 4 Nächte"	"5995.wav"	"can i have a room for four nights"	"can i have a room for um four nights"	"correct"	"correct"
"5996"	"Frag: Twinzimmer"	"5996.wav"	"can i have a double room"	"can i*z have a double room"	"incorrect"	"incorrect"
"5998"	"Frag: Twinzimmer"	"5998.wav"	"a twin room please"	"a twin room please"	"correct"	"correct"
"6000"	"Sag: Ich möchte mit Mastercard bezahlen"	"6000.wav"	"i would with master card pay"	"i would with master card pay"	"incorrect"	"correct"
"6001"	"Sag: Ich möchte mit Mastercard bezahlen"	"6001.wav"	"i would with master card pay"	"i would with master cards pay"	"incorrect"	"correct"
"6002"	"Frag: Gibt es ein Fitnessstudio?"	"6002.wav"	"i would like a junior suite"	"i would like a junior*z suite"	"incorrect"	"incorrect"
"6003"	"Frag: Gibt es ein Fitnessstudio?"	"6003.wav"	"have it a fitness studio"	"have it a fitness studio"	"incorrect"	"correct"
"6004"	"Frag: Gibt es ein Fitnessstudio?"	"6004.wav"	"have it a fitness centre"	"have it a fitness studio"	"incorrect"	"correct"
"6005"	"Frag: Wo ist das Fitnessstudio?"	"6005.wav"	"where are the fitness centre"	"where are the fitness studio"	"incorrect"	"correct"
"6006"	"Frag: Wo ist das Fitnessstudio?"	"6006.wav"	"where are the fitness centre"	"where are the fitness studio"	"incorrect"	"correct"
"6007"	"Frag: Wo ist das Fitnessstudio?"	"6007.wav"	"where is the fitness centre"	"where is the fitness centre"	"correct"	"correct"
"6008"	"Frag: Zimmer für 1 Woche"	"6008.wav"	"can i have a room for one week"	"can i have a room for one week"	"correct"	"correct"
"6009"	"Frag: Suite"	"6009.wav"	"can i have a suite"	"can i have a suite"	"correct"	"correct"
"6011"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"6011.wav"	"would i pay be credit card"	"would i pay be credit card"	"incorrect"	"incorrect"
"6012"	"Frag: Gibt es ein Fitnessstudio?"	"6012.wav"	"have it a fitness studio"	"have it a fitness studio"	"incorrect"	"incorrect"
"6013"	"Frag: Gibt es ein Fitnessstudio?"	"6013.wav"	"have it a fitness centre"	"have it a fitness centre"	"incorrect"	"correct"
"6014"	"Frag: Wo ist das Fitnessstudio?"	"6014.wav"	"where are the fitness centre"	"where are the fitness centre"	"incorrect"	"correct"
"6015"	"Frag: 4 Tickets nach London"	"6015.wav"	"can i have four tickets to london"	"can i have four tickets to london"	"correct"	"correct"
"6016"	"Sag: Ich möchte am Donnerstag abreisen"	"6016.wav"	"i would um ah fuck"	"i would um ah fuck"	"incorrect"	"incorrect"
"6017"	"Frag: 2 Tickets nach London"	"6017.wav"	"can i have two tickets to london"	"can i have two tickets to london"	"correct"	"correct"
"6018"	"Frag: 2 Tickets nach London"	"6018.wav"	"can i have two tickets to london"	"can i have two tickets to london"	"correct"	"correct"
"6019"	"Sag: Ich möchte um 13 Uhr morgen abreisen"	"6019.wav"	"i want to leave tomorrow at one p m"	"i want to leave tomorrow at one p m"	"correct"	"correct"
"6020"	"Sag: Ich heisse Michelle"	"6020.wav"	"my name is michelle"	"my name is michelle"	"correct"	"correct"
"6021"	"Sag: Ich bin aus der Türkei"	"6021.wav"	"i am from turkey"	"i am from tur*a turkey*z"	"correct"	"correct"
"6022"	"Frag: ein Ticket nach London"	"6022.wav"	"i want a ticket to london"	"i want a ticket to london"	"correct"	"correct"
"6023"	"Frag: ein Ticket nach London"	"6023.wav"	"can i have a ticket to london"	"can i have a ticket to london"	"correct"	"correct"
"6024"	"Frag: ein Ticket nach London"	"6024.wav"	"can i have a ticket to london"	"can i have a ticket to london"	"correct"	"correct"
"6025"	"Sag: Ich möchte am Freitagabend abreisen"	"6025.wav"	"i want to leave on friday evening"	"i want to leave on friday evening"	"correct"	"correct"
"6026"	"Sag: Ich heisse Michelle"	"6026.wav"	"my name is michelle"	"my name is michelle"	"correct"	"correct"
"6027"	"Sag: Ich bin aus Amerika"	"6027.wav"	"i'm from america"	"i'm from america"	"correct"	"correct"
"6028"	"Sag: Ich heisse Maddalena"	"6028.wav"	"my name is maddalena"	"my name is maddalena"	"correct"	"correct"
"6029"	"Sag: Ich bin aus der Türkei"	"6029.wav"	"i'm from turkey"	"i'm from tuh*a turkey*z"	"correct"	"correct"
"6030"	"Sag: Die Hauptstadt von der Türkei ist Ankara"	"6030.wav"	"the capital of turkey is ankara"	"the capital of turkey*z is ankara"	"correct"	"correct"
"6031"	"Frag: Zimmer für 3 Nächte"	"6031.wav"	"i would like a room for three nights"	"i would like a room for three nights"	"correct"	"correct"
"6032"	"Frag: Doppelzimmer"	"6032.wav"	"i would like a double room"	"i would like a double room"	"correct"	"correct"
"6033"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"6033.wav"	"i would pay with credit card"	"i would pay with credit card"	"incorrect"	"correct"
"6034"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"6034.wav"	"can i pay by credit cards"	"can i pay by credit cards"	"incorrect"	"correct"
"6035"	"Frag: Gibt es ein Fitnessstudio?"	"6035.wav"	"is there a fitness centre"	"is there a fitness centre"	"correct"	"correct"
"6036"	"Frag: Wo ist das Fitnessstudio?"	"6036.wav"	"where is the fitness centre"	"where's the fitness centre"	"correct"	"correct"
"6037"	"Sag: Ich möchte am Samstagnachmittag abreisen"	"6037.wav"	"i would like to leave on saturday afternoon"	"i would like to leave on saturday afternoon"	"correct"	"correct"
"6038"	"Sag: Ich heisse Mona"	"6038.wav"	"my name is mona"	"my name is mona"	"correct"	"correct"
"6040"	"Sag: Ich bin aus der Schweiz"	"6040.wav"	"i am from switzerland"	"i am from switzerland"	"correct"	"correct"
"6041"	"Sag: Ich heisse Paolo"	"6041.wav"	"my name is paolo"	"my name is paolo"	"correct"	"correct"
"6042"	"Sag: Ich bin aus der Schweiz"	"6042.wav"	"i'm from switzerland"	"i'm from switzerland"	"correct"	"correct"
"6043"	"Sag: Die Hauptstadt von der Schweiz ist Bern"	"6043.wav"	"the capital of switzerland is bern"	"the capital of switzerland is bern"	"correct"	"correct"
"6044"	"Sag: Ich habe 4 jüngere Schwestern"	"6044.wav"	"i have four younger sisters"	"i have four younger sisters"	"correct"	"correct"
"6045"	"Sag: Ich gehe in die Ferien"	"6045.wav"	"i am on holiday"	"i am on holiday"	"correct"	"correct"
"6046"	"Sag: Dies ist mein Pass"	"6046.wav"	"this is my passport"	"this is my passport"	"correct"	"correct"
"6049"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"6049.wav"	"can i pay by credit card"	"can i pay by credit card"	"correct"	"correct"
"6050"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"6050.wav"	"i pay with swiss francs"	"i pay with swiss francs"	"incorrect"	"correct"
"6051"	"Frag: Zimmer für 1 Woche"	"6051.wav"	"i want a room for one week"	"i want a room for one week"	"correct"	"correct"
"6052"	"Frag: Suite"	"6052.wav"	"i would like a suite"	"i would like a suite"	"correct"	"correct"
"6053"	"Frag: Suite"	"6053.wav"	"i would like a suite"	"i would like a suite"	"correct"	"correct"
"6054"	"Frag: Suite"	"6054.wav"	"i would like a suite"	"i would like a suite"	"correct"	"correct"
"6055"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"6055.wav"	"can i pay by credit card"	"can i pay by credit card"	"correct"	"correct"
"6057"	"Frag: Gibt es einen Lebensmittelladen?"	"6057.wav"	"is there a grocery store"	"is there a grocery store"	"correct"	"correct"
"6059"	"Frag: Zimmer für 5 Nächte"	"6059.wav"	"i would like a room for five nights"	"i would like a room for five nights"	"correct"	"correct"
"6060"	"Frag: Zimmer für 5 Nächte"	"6060.wav"	"i would like a room for five nights"	"i would like a room for five night"	"incorrect"	"correct"
"6061"	"Frag: Zimmer für 5 Nächte"	"6061.wav"	"i would like a room for five nights"	"i would like a room for five nights"	"correct"	"correct"
"6062"	"Frag: Einzelzimmer"	"6062.wav"	"a single room"	"a single room"	"correct"	"correct"
"6063"	"Frag: Einzelzimmer"	"6063.wav"	"a single room please"	"a single room please"	"correct"	"correct"
"6065"	"Sag: Ich möchte mit Postkarte bezahlen"	"6065.wav"	"i would like to pay by post card"	"i would like to pay by post card"	"correct"	"correct"
"6067"	"Frag: Gibt es ein Fitnessstudio?"	"6067.wav"	"is there a fitness centre"	"there a fitness centre"	"incorrect"	"incorrect"
"6068"	"Frag: Wo ist das Fitnessstudio?"	"6068.wav"	"where is the fitness studio"	"where is the fitness studio"	"correct"	"correct"
"6069"	"Frag: Wo ist das Fitnessstudio?"	"6069.wav"	"where is the fitness centre"	"where is the fitness centre"	"correct"	"correct"
"6070"	"Frag: Zimmer für 6 Nächte"	"6070.wav"	"i want a room for six nights"	"i want a room for six nights"	"correct"	"correct"
"6071"	"Frag: Twinzimmer"	"6071.wav"	"a twin room"	"a twin room"	"correct"	"correct"
"6073"	"Frag: Twinzimmer"	"6073.wav"	"a twin room please"	"a twin room please"	"correct"	"correct"
"6074"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"6074.wav"	"can i pay by credit card"	"can i pay by credit card"	"correct"	"correct"
"6077"	"Frag: Gibt es eine Hotelbar?"	"6077.wav"	"is there the hotel bar"	"is there the hotel*z bar"	"incorrect"	"correct"
"6078"	"Frag: Wo ist die Hotelbar?"	"6078.wav"	"where is the hotel bar"	"where is the hotel*z bar"	"correct"	"correct"
"6079"	"Frag: Zimmer für 5 Nächte"	"6079.wav"	"i want a room for five nights"	"i want a room for five nights"	"correct"	"correct"
"6080"	"Frag: Twinzimmer"	"6080.wav"	"a twin room please"	"a twin room please"	"correct"	"correct"
"6082"	"Sag: Ich möchte mit Euros bezahlen"	"6082.wav"	"can i pay with euros"	"can i pay with euros*z"	"correct"	"correct"
"6083"	"Sag: Ich möchte mit Euros bezahlen"	"6083.wav"	"can i pay with euros please"	"can i pay with euros*z please"	"correct"	"correct"
"6084"	"Sag: Ich möchte mit Euros bezahlen"	"6084.wav"	"can i pay with euros please"	"can i pay with euros*z please"	"correct"	"correct"
"6085"	"Frag: Gibt es eine Hotelbar?"	"6085.wav"	"is there the hotel bar"	"is there the hotel*z bar"	"incorrect"	"correct"
"6086"	"Frag: Zimmer für 7 Nächte"	"6086.wav"	"i want a room for seven nights"	"i want a room for seven nights"	"correct"	"correct"
"6087"	"Frag: Einzelzimmer"	"6087.wav"	"i want a single room please"	"i want a single room please"	"correct"	"correct"
