Id	Prompt	Wavfile	Transcription	language	meaning
3632	Sag: Ich möchte in der zweiten Reihe sitzen	3632.wav	i would like to sit in the second row	correct	correct
3634	Frag: 5 Tickets	3634.wav	five tickets please	correct	correct
3636	Frag: Einzelzimmer	3636.wav	a single room	correct	correct
3637	Frag: Einzelzimmer	3637.wav	a single room	correct	correct
3638	Frag: Einzelzimmer	3638.wav	a single room please	correct	correct
3639	Sag: Ich möchte mit Postkarte bezahlen	3639.wav	i would to play with my post card	incorrect	incorrect
3640	Sag: Ich möchte mit Postkarte bezahlen	3640.wav	i would like to play with my post card	incorrect	correct
3641	Sag: Ich möchte mit Postkarte bezahlen	3641.wav	i would like to play with	incorrect	incorrect
3642	Frag: Gibt es eine Hotelbar?	3642.wav	is there the hotel bar	incorrect	correct
3643	Sag: Ich heisse Nick	3643.wav	my name is nick	correct	correct
3644	Sag: Ich bin aus Österreich	3644.wav	i am from austria	correct	correct
3645	Sag: Die Hauptstadt von Österreich ist Wien	3645.wav	the capital of austria is wien	incorrect	correct
3647	Sag: Ich habe 1 Bruder	3647.wav	i have a brother	correct	correct
3648	Sag: Ich habe 1 Bruder	3648.wav	i have a brother	correct	correct
3649	Sag: Ich habe 1 Bruder	3649.wav	i have one brother	correct	correct
3650	Sag: Ich gehe in die Ferien	3650.wav	i going in the holiday	incorrect	correct
3651	Sag: Dies ist mein Pass	3651.wav	this is my passport	correct	correct
3652	Sag: Dies ist mein Pass	3652.wav	this is my pass	incorrect	incorrect
3654	Frag: ein Ticket zum Piccadilly Circus	3654.wav	a ticket from piccadilly circus please	incorrect	incorrect
3655	Frag: ein Ticket zum Piccadilly Circus	3655.wav	like a ticket to piccadilly circus	incorrect	correct
3656	Frag: ein Ticket zum Piccadilly Circus	3656.wav	i would like a ticket to piccadilly circus	correct	correct
3657	Sag: Ich möchte mit Mastercard bezahlen	3657.wav	i would like to play with my master card	incorrect	incorrect
3658	Frag: 4 Musical-Tickets	3658.wav	four musical tickets please	correct	correct
3659	Frag: 4 Musical-Tickets	3659.wav	four musical tickets	correct	correct
3660	Frag: 4 Musical-Tickets	3660.wav	i would like to buy four musical tickets	correct	correct
3661	Sag: Ich möchte am Freitagabend gehen	3661.wav	i would go by free day avenue	incorrect	incorrect
3662	Sag: Ich möchte am Freitagabend gehen	3662.wav	i would like to go a priday night	incorrect	incorrect
3663	Sag: Ich möchte am Freitagabend gehen	3663.wav	i would like to go on free day night	incorrect	correct
3664	Frag: 4 Tickets für Wicked	3664.wav	i would like four tickets for the wick	incorrect	incorrect
3665	Frag: 4 Tickets für Wicked	3665.wav	i want four tickets for wicked	correct	correct
3666	Sag: Ich möchte in der achten Reihe sitzen	3666.wav	in the eight row	incorrect	correct
3667	Sag: Ich möchte in der achten Reihe sitzen	3667.wav	i want to sit in the eighth row	correct	correct
3668	Sag: Ich möchte in der achten Reihe sitzen	3668.wav	i want seat in the eight row	incorrect	correct
3669	Frag: Tickets für das Naturhistorische Museum	3669.wav	i want tickets for the natural history museum please	correct	correct
3670	Frag: 2 Tickets	3670.wav	i want two tickets please	correct	correct
3671	Sag: Ich habe keine Reservation	3671.wav	no i do not have a reservation	correct	correct
3673	Sag: Ich habe keine Reservation	3673.wav	no i do not have a reservation	correct	correct
3674	Frag: Zimmer für 6 Nächte	3674.wav	can i have six rooms for six nights	incorrect	incorrect
3675	Frag: Zimmer für 6 Nächte	3675.wav	i want a room for six nights	correct	correct
3676	Frag: Doppelzimmer	3676.wav	i want a double room	correct	correct
3679	Frag: Gibt es ein Schwimmbad?	3679.wav	have you a pool	correct	correct
3680	Frag: Wo ist das Schwimmbad?	3680.wav	where is the pool	correct	correct
3681	Frag: Zimmer für 4 Nächte	3681.wav	i want a room for four nights	correct	correct
3682	Frag: Doppelzimmer	3682.wav	i want a double room	correct	correct
3683	Sag: Ich möchte mit Visa bezahlen	3683.wav	can i pay with visa	correct	correct
3684	Frag: Gibt es ein Hotelrestaurant?	3684.wav	is there a hotel restaurant	correct	correct
3685	Frag: Wo ist das Hotelrestaurant?	3685.wav	where is the hotel restaurant	correct	correct
3686	Sag: Ich möchte mit Visa bezahlen	3686.wav	can i pay with visa	correct	correct
3688	Sag: Ich möchte mit Schweizer Franken bezahlen	3688.wav	can i pay with swiss friends	incorrect	incorrect
3689	Sag: Ich habe keine Reservation	3689.wav	no i do not have a reservation	correct	correct
3690	Frag: Zimmer für 7 Nächte	3690.wav	i want a room for seven nights	correct	correct
3691	Frag: Junior Suite	3691.wav	on the junior suite	incorrect	incorrect
3692	Sag: Ich möchte mit Mastercard bezahlen	3692.wav	can i pay by mastercard	correct	correct
3693	Frag: Gibt es einen Coiffeur?	3693.wav	is there a hairdresser	correct	correct
3694	Frag: Wo ist der Coiffeur?	3694.wav	where is the hairdresser	correct	correct
3695	Frag: 3 Tickets nach London	3695.wav	i would like three tickets to london	correct	correct
3696	Sag: Ich möchte am Mittwochabend abreisen	3696.wav	i want to leave on wednesday evening	correct	correct
3697	Sag: Ich heisse Sarah	3697.wav	my name is sarah	correct	correct
3698	Sag: Ich heisse Sarah	3698.wav	my name is sarah	correct	correct
3700	Frag: ein Ticket nach London	3700.wav	i want a ticket to london	correct	correct
3701	Sag: Ich möchte am Sonntag abreisen	3701.wav	i would like to leave on sunday	correct	correct
3702	Sag: Ich heisse John	3702.wav	my name is john	correct	correct
3703	Sag: Ich bin aus Spanien	3703.wav	i am from spain	correct	correct
3704	Sag: Ich heisse Brian	3704.wav	my name is brian	correct	correct
3705	Sag: Ich bin aus Amerika	3705.wav	i am from america	correct	correct
3706	Sag: Ich heisse Silvia	3706.wav	my name is silvia	correct	correct
3707	Sag: Ich bin aus Portugal	3707.wav	i am from portugal	correct	correct
3708	Sag: Die Hauptstadt von Portugal ist Lissabon	3708.wav	the capital of portugal is lisabon	incorrect	correct
3709	Sag: Ich habe 2 jüngere Brüder	3709.wav	i have two young brothers	incorrect	incorrect
3710	Sag: Ich gehe in die Ferien	3710.wav	i going to holidays	incorrect	incorrect
3712	Sag: Dies ist mein Pass	3712.wav	that is my passport	correct	correct
3713	Sag: Dies ist mein Pass	3713.wav	that's is my passport	incorrect	correct
3714	Sag: Dies ist mein Pass	3714.wav	this is my passport	correct	correct
3716	Sag: Ich möchte mit Postkarte bezahlen	3716.wav	i want pay	incorrect	incorrect
3717	Sag: Ich möchte mit Postkarte bezahlen	3717.wav	i would like to pay by post card	correct	correct
3718	Sag: Ich möchte mit Postkarte bezahlen	3718.wav	i would like to pay by post card	correct	correct
3719	Frag: 2 Musical-Tickets	3719.wav	i want two musical tickets	correct	correct
3720	Frag: 2 Tickets für Montagabend	3720.wav	i want two tickets for monday evening	correct	correct
3723	Frag: Zimmer für 2 Nächte	3723.wav	a room for two nights	correct	correct
3724	Frag: Zimmer für 2 Nächte	3724.wav	can i have a room for two nights	correct	correct
3725	Frag: Einzelzimmer	3725.wav	a single room	correct	correct
3726	Frag: Einzelzimmer	3726.wav	single room	correct	correct
3727	Frag: Einzelzimmer	3727.wav	single room	correct	correct
3728	Sag: Ich möchte mit Kreditkarte bezahlen	3728.wav	i	incorrect	incorrect
3729	Sag: Ich möchte mit Kreditkarte bezahlen	3729.wav	ich verschtands nid	incorrect	incorrect
3730	Frag: Gibt es einen Lift?	3730.wav	is it a lift	incorrect	incorrect
3731	Frag: Wo ist der Lift?	3731.wav	where is the lift	correct	correct
3735	Sag: Ich möchte mit Dollars bezahlen	3735.wav	can i pay with dollars	correct	correct
3736	Frag: Zimmer für 3 Nächte	3736.wav	i want a room for three nights	correct	correct
3737	Frag: Einzelzimmer	3737.wav	i want a single room	correct	correct
3738	Sag: Ich möchte mit Postkarte bezahlen	3738.wav	i want to pay with credit card	incorrect	correct
3740	Frag: Gibt es ein Fitnessstudio?	3740.wav	have you got a fitness studio	correct	correct
3741	Frag: Gibt es ein Fitnessstudio?	3741.wav	is there a gym	correct	correct
3742	Frag: Wo ist das Fitnessstudio?	3742.wav	where is the gym	correct	correct
3743	Frag: ein Ticket nach London	3743.wav	i want a ticket to london	correct	correct
3744	Sag: Ich möchte um 12 Uhr morgen abreisen	3744.wav	i want to leave tomorrow at noon	correct	correct
3745	Sag: Ich heisse Mona	3745.wav	my name is mona	correct	correct
3746	Sag: Ich bin aus Deutschland	3746.wav	i am from germany	correct	correct
3749	Frag: ein Steak	3749.wav	single room please a single r	incorrect	incorrect
3750	Frag: ein Steak	3750.wav	i would like a steetch	incorrect	incorrect
3751	Frag: ein Steak	3751.wav	kusvich	incorrect	incorrect
3757	Frag: Wo ist der Tower?	3757.wav	where is the tour i'm	incorrect	incorrect
3759	Frag: Welcher Bus fährt dorthin?	3759.wav	which bus goes there	correct	correct
3761	Frag: Zimmer für 6 Nächte	3761.wav	a dorm for six nights	incorrect	incorrect
3762	Frag: Zimmer für 6 Nächte	3762.wav	a dorm for six nights	incorrect	incorrect
3763	Frag: Zimmer für 6 Nächte	3763.wav	i want a room for six nights	correct	correct
3764	Frag: Twinzimmer	3764.wav	a twin zimmer	incorrect	incorrect
3767	Sag: Ich möchte mit Kreditkarte bezahlen	3767.wav	i would like to pay by credit card	correct	correct
3768	Frag: Gibt es einen Lift?	3768.wav	is there a lift	correct	correct
3769	Sag: Ich habe keine Reservation	3769.wav	i've no a reservation	incorrect	correct
3770	Sag: Ich habe keine Reservation	3770.wav	i have no reservation	correct	correct
3771	Sag: Ich habe keine Reservation	3771.wav	i have no reservation	correct	correct
3773	Sag: Ich habe keine Reservation	3773.wav	i haven't got a reservation	correct	correct
3774	Sag: Ich habe keine Reservation	3774.wav	i have not a reservation	incorrect	correct
3776	Sag: Ich habe keine Reservation	3776.wav	i do not have a reservation	correct	correct
3777	Sag: Ich habe keine Reservation	3777.wav	i do not have a reservation	correct	correct
3778	Sag: Ich habe keine Reservation	3778.wav	no i do not have a reservation	correct	correct
3779	Sag: Ich habe keine Reservation	3779.wav	no i have not have	incorrect	incorrect
3781	Sag: Ich habe keine Reservation	3781.wav	no i do not have a reservation	correct	correct
3782	Frag: Zimmer für 7 Nächte	3782.wav	a room for seven nights	correct	correct
3783	Frag: Doppelzimmer	3783.wav	a double room	correct	correct
3784	Frag: Doppelzimmer	3784.wav	a double room	correct	correct
3786	Sag: Ich möchte mit Postkarte bezahlen	3786.wav	i would like to pay by post card	correct	correct
3787	Frag: Gibt es ein Hotelrestaurant?	3787.wav	is there a restaurant	correct	correct
3788	Frag: Wo ist das Hotelrestaurant?	3788.wav	where is the restaurant	correct	correct
3789	Frag: Wo ist das Hotelrestaurant?	3789.wav	where is the restaurant	correct	correct
3790	Frag: Wo ist das Hotelrestaurant?	3790.wav	where is the hotel restaurant	correct	correct
3791	Frag: Zimmer für 2 Nächte	3791.wav	a room for two nights	correct	correct
3792	Frag: Doppelzimmer	3792.wav	a double room	correct	correct
3794	Frag: Doppelzimmer	3794.wav	a twin room	correct	correct
3795	Sag: Ich möchte mit Postkarte bezahlen	3795.wav	i would like to pay by post card	correct	correct
3796	Sag: Ich möchte mit Schweizer Franken bezahlen	3796.wav	i would like to pay by swiss francs	incorrect	correct
3797	Sag: Ich möchte mit Schweizer Franken bezahlen	3797.wav	i would like to pay by swiss francs	incorrect	correct
3798	Sag: Ich möchte mit Schweizer Franken bezahlen	3798.wav	can i pay with swiss francs	correct	correct
3799	Frag: Gibt es einen Coiffeur?	3799.wav	is there a hairdresser	correct	correct
3800	Frag: ein Ticket zum Piccadilly Circus	3800.wav	i want a ticket to the piccadilly circus	incorrect	correct
3801	Sag: Ich möchte mit Postkarte bezahlen	3801.wav	i'd like to change with post card	incorrect	incorrect
3802	Sag: Ich möchte mit Pfund bezahlen	3802.wav	i'd like to change with pounds	incorrect	incorrect
3803	Sag: Mir geht es gut	3803.wav	i'm thanks	incorrect	incorrect
3804	Frag: Stiefel	3804.wav	i'd like stiefel	incorrect	incorrect
3805	Frag: Stiefel	3805.wav	i would like some boots	correct	correct
3806	Frag: blaue Stiefel	3806.wav	i would like blue boots	correct	correct
3807	Sag: Ich habe keine Reservation	3807.wav	no i don't have a reservation	correct	correct
3808	Frag: Zimmer für 3 Nächte	3808.wav	a room for three nights	correct	correct
3809	Frag: Junior Suite	3809.wav	a junior suite	correct	correct
3810	Sag: Ich möchte mit Kreditkarte bezahlen	3810.wav	i want pay with credit card	incorrect	correct
3811	Sag: Ich heisse Barbara	3811.wav	my name is barbara	correct	correct
3812	Sag: Ich bin aus Frankreich	3812.wav	i am from france	correct	correct
3813	Sag: Die Hauptstadt von Frankreich ist Paris	3813.wav	the capital of france is paris	correct	correct
3814	Sag: Ich habe 2 jüngere Schwestern	3814.wav	i have two younger sisters	correct	correct
3815	Sag: Ich gehe in die Ferien	3815.wav	i go in the holidays	incorrect	correct
3816	Sag: Dies ist mein Pass	3816.wav	this is my passport	correct	correct
3817	Sag: Dies ist mein Pass	3817.wav	these is my passport	incorrect	correct
3818	Sag: Dies ist mein Pass	3818.wav	yes it is my passport	correct	correct
3819	Frag: 3 Musical-Tickets	3819.wav	musical tickets	incorrect	incorrect
3820	Frag: 3 Musical-Tickets	3820.wav	can i have three musical tickets	correct	correct
3822	Frag: 3 Tickets für Starlight Express	3822.wav	i need three tickets for stairlight express	correct	correct
3823	Sag: Ich möchte in der vierten Reihe sitzen	3823.wav	i would like in the fourth serious sit	incorrect	incorrect
3824	Sag: Ich möchte in der vierten Reihe sitzen	3824.wav	i would like to sit in the fourth row	correct	correct
3825	Frag: Tickets für das London Eye	3825.wav	i want tickets for the london eye	correct	correct
3826	Frag: 4 Tickets	3826.wav	i need four tickets	correct	correct
3827	Frag: 3 Musical-Tickets	3827.wav	i need three musical tickets	correct	correct
3828	Frag: ein Ticket für Donnerstagabend	3828.wav	i need a ticket for thursday night	correct	correct
3829	Frag: 3 Tickets für Wicked	3829.wav	i need three tickets for wicked	correct	correct
3830	Frag: Ticket für dieses Musical	3830.wav	i want a ticket for this musical	correct	correct
3831	Frag: Ticket für dieses Musical	3831.wav	i want tickets for this musical	correct	correct
3832	Sag: Ich möchte in der zweiten Reihe sitzen	3832.wav	i want to sit in the second row	correct	correct
3833	Frag: Tickets für Madame Tussauds	3833.wav	i want tickets for madame tussauds	correct	correct
3834	Frag: 1 Ticket	3834.wav	i need one ticket	correct	correct
3835	Frag: 1 Musical-Ticket	3835.wav	i need one musical ticket	correct	correct
3836	Frag: ein Ticket für heute Abend	3836.wav	a ticket for night	incorrect	incorrect
3837	Frag: ein Ticket für heute Abend	3837.wav	i want tickets for this evening	correct	correct
3838	Frag: ein Ticket für Mamma Mia	3838.wav	i want a ticket for mamma mia	correct	correct
3839	Frag: Ticket für dieses Musical	3839.wav	i want a ticket for this musical	correct	correct
3840	Sag: Ich möchte vorne sitzen	3840.wav	i want sit up front	incorrect	correct
3841	Sag: Ich möchte vorne sitzen	3841.wav	i would like to sit in the front	correct	correct
3842	Frag: Tickets für das British Museum	3842.wav	i need tickets for the british museum	correct	correct
3843	Frag: Tickets für das British Museum	3843.wav	can i also have tickets for the british museum	correct	correct
3844	Frag: 2 Tickets	3844.wav	i need two tickets	correct	correct
3845	Frag: 2 Musical-Tickets	3845.wav	i need two musical tickets	correct	correct
3846	Frag: ein Ticket für Samstagabend	3846.wav	i need a ticket for saturday night	correct	correct
3847	Frag: 2 Tickets für König der Löwen	3847.wav	i need two tickets for the lion king	correct	correct
3848	Sag: Ich möchte vorne sitzen	3848.wav	i want to sit in the front	correct	correct
3849	Frag: Tickets für das Science Museum	3849.wav	i want tickets for the science museum	correct	correct
3850	Frag: 1 Ticket	3850.wav	i need one ticket	correct	correct
3851	Frag: Wo ist das Naturhistorische Museum?	3851.wav	where is the natural history museum	correct	correct
3852	Frag: Wo ist die Oxford Street?	3852.wav	where is the oxford street	incorrect	correct
3853	Frag: Welcher Bus fährt dorthin?	3853.wav	which bus goes there	correct	correct
3854	Sag: Der Tower ist nahe der Tower Bridge	3854.wav	the tower is near the tower bridge	correct	correct
3855	Frag: Wo ist das Naturhistorische Museum?	3855.wav	where is the natural history museum	correct	correct
3856	Frag: Wo ist Piccadilly Circus?	3856.wav	where is piccadilly circus	correct	correct
3857	Frag: Welcher Bus fährt dorthin?	3857.wav	which bus goes there	correct	correct
3858	Sag: Big Ben ist neben den Houses of Parliament	3858.wav	the big ben is beside the houses of parliament	incorrect	correct
3859	Frag: Wo ist das Naturhistorische Museum?	3859.wav	where is the natural history museum	correct	correct
3860	Frag: Wo ist der Tower?	3860.wav	you can't use help at the silver level	incorrect	incorrect
3861	Frag: Wo ist der Tower?	3861.wav	where is the tower	correct	correct
3862	Sag: Marble Arch ist gegenüber dem Hyde Park	3862.wav	marble arch is across hyde street park	incorrect	incorrect
3863	Frag: Wo ist die National Gallery?	3863.wav	where is the national gallery	correct	correct
3864	Frag: Wo ist Big Ben?	3864.wav	where is the big ben	incorrect	correct
3865	Frag: Welcher Bus fährt dorthin?	3865.wav	which bus goes there	correct	correct
3866	Sag: Der Tower ist nahe der Tower Bridge	3866.wav	the tower is near tower bridge	correct	correct
3867	Frag: Wo ist der Zoo?	3867.wav	where is the zoo	correct	correct
3868	Frag: Wo ist Madame Tussauds?	3868.wav	where is madame tussauds	correct	correct
3869	Frag: Welcher Bus fährt dorthin?	3869.wav	which bus goes there	correct	correct
3870	Sag: Der Tower ist nahe der Tower Bridge	3870.wav	the tower is near tower bridge	correct	correct
3871	Frag: einen Orangensaft	3871.wav	i want a an orange juice	correct	correct
3872	Frag: einen Orangensaft	3872.wav	i want an orange juice	correct	correct
3873	Frag: einen Hamburger	3873.wav	i want a hamburger	correct	correct
3874	Frag: meinen Hamburger rare	3874.wav	i want my hamburger rare	correct	correct
3875	Frag: Erbsen	3875.wav	i want peas	correct	correct
3876	Frag: Erbsen	3876.wav	i want peas	correct	correct
3877	Frag: Erbsen	3877.wav	i would like some peas	correct	correct
3878	Frag: Ich möchte die Dessertkarte	3878.wav	yes can i have the dessert card	incorrect	correct
3879	Frag: Ich möchte die Dessertkarte	3879.wav	can i have the dessert card	incorrect	correct
3880	Frag: Ich möchte die Dessertkarte	3880.wav	the dessert menu please	correct	correct
3882	Frag: Karrotenkuchen	3882.wav	can i have the carrot cake	correct	correct
3883	Frag: Ich möchte die Rechnung	3883.wav	i would like the bill	correct	correct
3888	Sag: Ich habe keine Reservation	3888.wav	no i do not have a reservation	correct	correct
3889	Frag: Zimmer für 2 Nächte	3889.wav	a room for two nights	correct	correct
3890	Frag: Suite	3890.wav	i'd like a suite	correct	correct
3891	Sag: Ich möchte mit Mastercard bezahlen	3891.wav	i would like pay with mastercard	incorrect	correct
3892	Sag: Ich möchte mit Mastercard bezahlen	3892.wav	are there a coiffeur	incorrect	incorrect
3893	Frag: Zimmer für 1 Woche	3893.wav	i would like a room for once a week	incorrect	incorrect
3894	Frag: Suite	3894.wav	i'd like a suite	correct	correct
3896	Frag: Gibt es einen Lebensmittelladen?	3896.wav	is there a grocery store	correct	correct
3897	Frag: Wo ist der Lebensmittelladen?	3897.wav	where is the grocery store	correct	correct
3898	Frag: 1 Musical-Ticket	3898.wav	can i have one musical ticket	correct	correct
3899	Frag: 1 Musical-Ticket	3899.wav	a ticket for wednesday evening	incorrect	incorrect
3900	Frag: ein Ticket für morgen Abend	3900.wav	a ticket for	incorrect	incorrect
3901	Frag: ein Ticket für morgen Abend	3901.wav	a ticket for morning night	incorrect	incorrect
3902	Frag: ein Ticket für morgen Abend	3902.wav	a ticket for tomorrow night	correct	correct
3903	Frag: ein Ticket für Starlight Express	3903.wav	i would like a ticket for starlight express	correct	correct
3904	Frag: ein Ticket für Starlight Express	3904.wav	a ticket for starlight express	correct	correct
3905	Frag: ein Ticket für Starlight Express	3905.wav	a ticket for starlight express	correct	correct
3906	Sag: Ich möchte in der Mitte sitzen	3906.wav	i want to sit in the middle	correct	correct
3907	Frag: Tickets für das London Eye	3907.wav	can i have tickets for the london eye	correct	correct
3908	Frag: 4 Tickets	3908.wav	i need four tickets	correct	correct
3909	Sag: Mir geht es gut	3909.wav	i'm fine	correct	correct
3910	Frag: Stiefel	3910.wav	i want boots	correct	correct
3911	Frag: weisse Stiefel	3911.wav	i want white boots	correct	correct
3912	Frag: Grösse 36	3912.wav	thirty-six	correct	correct
3913	Frag: ein T-Shirt	3913.wav	i want a t-shirt	correct	correct
3914	Frag: ein gelbes T-Shirt	3914.wav	i want a yellow t-shirt	correct	correct
3915	Frag: eine L	3915.wav	big	incorrect	correct
3916	Frag: eine L	3916.wav	great	incorrect	incorrect
3917	Frag: eine L	3917.wav	i am a large	correct	correct
3918	Frag: Wie viel kostet es?	3918.wav	how much is it	correct	correct
3919	Sag: Dies ist zu teuer	3919.wav	that's too expensive	correct	correct
3920	Sag: Mir geht es gut	3920.wav	i am fine	correct	correct
3921	Frag: Sandalen	3921.wav	i want sandals	correct	correct
3922	Frag: rote Sandalen	3922.wav	i want red sandals	correct	correct
3923	Frag: Grösse 38	3923.wav	thirty-eight	correct	correct
3924	Frag: ein T-Shirt	3924.wav	i want a t-shirt	correct	correct
3925	Frag: ein gelbes T-Shirt	3925.wav	i want a yellow t-shirt	correct	correct
3926	Frag: eine L	3926.wav	great	incorrect	incorrect
3927	Frag: eine L	3927.wav	great	incorrect	incorrect
3928	Frag: eine L	3928.wav	i am a large	correct	correct
3929	Frag: Wie viel kostet es?	3929.wav	how much is it	correct	correct
3930	Sag: Das T-Shirt ist zu teuer	3930.wav	the t-shirt is too expensive	correct	correct
3931	Sag: Mir geht es gut	3931.wav	i'm fine	correct	correct
3932	Frag: Stiefel	3932.wav	i want boots	correct	correct
3933	Frag: braune Stiefel	3933.wav	i want brown boots	correct	correct
3934	Frag: Grösse 39	3934.wav	thirty-nine	correct	correct
3935	Frag: ein T-Shirt	3935.wav	i want a t-shirt	correct	correct
3936	Frag: ein braunes T-Shirt	3936.wav	i want a brown t-shirt	correct	correct
3938	Frag: Wie viel kostet das T-Shirt?	3938.wav	how much is the t-shirt	correct	correct
3940	Sag: Mir geht es gut	3940.wav	i'm fine	correct	correct
3941	Frag: Sandalen	3941.wav	i want sandals	correct	correct
3942	Frag: weisse Sandalen	3942.wav	i want white sandals	correct	correct
3943	Frag: Grösse 44	3943.wav	forty-four	correct	correct
3944	Frag: Hosen	3944.wav	i want pants	correct	correct
3945	Frag: Hosen	3945.wav	i'm looking for trousers	correct	correct
3946	Frag: rote Hosen	3946.wav	i want red trousers	correct	correct
3947	Frag: eine S	3947.wav	small	correct	correct
3948	Frag: Wie viel kostet die Hose?	3948.wav	how much are the croasts	incorrect	incorrect
3949	Frag: Wie viel kostet die Hose?	3949.wav	how much does the trousers cost	incorrect	correct
3950	Sag: Die Hose ist zu teuer	3950.wav	the trousers is too expensive	incorrect	correct
3952	Sag: Ich heisse Sarah	3952.wav	my name is sarah	correct	correct
3953	Sag: Ich bin aus Italien	3953.wav	i am from italy	correct	correct
3954	Sag: Die Hauptstadt von Italien ist Rom	3954.wav	the capital of italy is rome	correct	correct
3955	Sag: Ich habe 1 Bruder	3955.wav	i have a brother	correct	correct
3956	Sag: Ich habe 1 Bruder	3956.wav	i have one brother	correct	correct
3958	Sag: Dies ist mein Pass	3958.wav	this is my passport	correct	correct
3959	Sag: Dies ist mein Pass	3959.wav	yes it is my passport	correct	correct
3960	Sag: Ich heisse Michelle	3960.wav	my name is michelle	correct	correct
3961	Sag: Ich bin aus Deutschland	3961.wav	i am from germany	correct	correct
3962	Sag: Die Hauptstadt von Deutschland ist Berlin	3962.wav	the capital of germany is berlin	correct	correct
3963	Sag: Ich habe 4 ältere Brüder	3963.wav	i have four older brothers	correct	correct
3966	Sag: Dies ist mein Pass	3966.wav	yes it is my passport	correct	correct
